cinema_name_, movie_house, theater_info, phone, address
SM Center Sangandaan Cinema 1,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 2,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 3,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
SM Center Sangandaan Cinema 4,SM Center Sangandaan, , ,"
Marcelo H. Del Pilar St. corner Samson Road
Brgy 003
Caloocan City
"
Evia Lifestyle Center MX4D Cinema 1,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center VIP Cinema 2,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center Cinema 3,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Evia Lifestyle Center Cinema 4,Evia Lifestyle Center, ,(63 977) 235-6541,"
Evia Lifestyle Center in Bgy. Tindig na Mangga
Daang-Hari, Almanza Dos
Las Piñas City
"
Robinsons Place Las Piñas Cinema 1,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 2,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 3,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
Robinsons Place Las Piñas Cinema 4,Robinsons Place Las Piñas, ,(63 2) 886-9234,"
Level 2, 345 Alabang-Zapote Road
Las Piñas City
"
SM SouthMall Digital Theater,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
SM SouthMall Cinema  2,SM SouthMall,Ultra Surround,"(63 2) 806-6888, (63 2) 806-6782","
Almanza
Alabang-Zapote National Rd.
Las Piñas City
"
