cinema_name, movie_house, movie_name, schedule, duration
SM Center Sangandaan Cinema 1,SM Center Sangandaan,Ang Dalawang Mrs. Reyes,1:30 PM| 4:00 PM| 6:30 PM| 9:00 PM,1 hr 44 min
SM Center Sangandaan Cinema 2,SM Center Sangandaan,Maze Runner: The Death Cure,11:45 AM| 2:50 PM| 5:55 PM| 9:00 PM,2 hrs 32 min
SM Center Sangandaan Cinema 3,SM Center Sangandaan,Insidious: The Last Key,1:00 PM| 3:40 PM| 6:20 PM| 9:00 PM,1 hr 52 min
SM Center Sangandaan Cinema 4,SM Center Sangandaan,Mr. & Mrs. Cruz,1:30 PM| 9:15 PM,1 hr 56 min
Evia Lifestyle Center MX4D Cinema 1,Evia Lifestyle Center,Maze Runner: The Death Cure,11:00 AM| 2:00 PM| 5:00 PM| 8:00 PM| 11:00 PM,2 hrs 32 min
Evia Lifestyle Center VIP Cinema 2,Evia Lifestyle Center,Jumanji: Welcome to the Jungle,11:20 AM| 4:40 PM| 10:00 PM,2 hrs 09 min
Evia Lifestyle Center VIP Cinema 2,Evia Lifestyle Center,Maze Runner: The Death Cure,1:40 PM| 7:05 PM,2 hrs 32 min
Evia Lifestyle Center Cinema 3,Evia Lifestyle Center,Maze Runner: The Death Cure,1:40 PM| 7:05 PM,2 hrs 32 min
Evia Lifestyle Center Cinema 3,Evia Lifestyle Center,Insidious: The Last Key,1:50 PM| 6:05 PM| 10:20 PM,1 hr 52 min
Evia Lifestyle Center Cinema 4,Evia Lifestyle Center,Pitch Perfect 3,12:00 PM| 4:20 PM| 8:40 PM,1 hr 45 min
Evia Lifestyle Center Cinema 4,Evia Lifestyle Center,Mr. & Mrs. Cruz,2:05 PM| 6:25 PM| 10:45 PM,1 hr 56 min
Robinsons Place Las Piñas Cinema 1,Robinsons Place Las Piñas,Maze Runner: The Death Cure,12:30 PM| 3:20 PM| 6:10 PM| 9:00 PM,2 hrs 32 min
Robinsons Place Las Piñas Cinema 2,Robinsons Place Las Piñas,Insidious: The Last Key,12:50 PM| 3:00 PM| 5:10 PM| 7:20 PM| 9:30 PM,1 hr 52 min
Robinsons Place Las Piñas Cinema 3,Robinsons Place Las Piñas,Mr. & Mrs. Cruz,1:40 PM| 6:50 PM,1 hr 56 min
Robinsons Place Las Piñas Cinema 3,Robinsons Place Las Piñas,Ang Dalawang Mrs. Reyes,11:30 AM| 4:30 PM| 9:30 PM,1 hr 44 min
Robinsons Place Las Piñas Cinema 4,Robinsons Place Las Piñas,Jumanji: Welcome to the Jungle,1:00 PM| 3:40 PM| 6:20 PM| 9:00 PM,2 hrs 09 min
SM SouthMall Digital Theater,SM SouthMall,Jumanji: Welcome to the Jungle,12:00 PM| 3:00 PM| 6:00 PM| 9:00 PM,2 hrs 09 min
SM SouthMall Cinema 2,SM SouthMall,Fallen Not Forgotten: The Untold Story of The Gallant SAF 44,12:50 PM| 2:45 PM| 4:40 PM| 6:35 PM| 8:30 PM,1 hr 52 min
SM SouthMall Cinema 3,SM SouthMall,Insidious: The Last Key,11:10 AM| 1:45 PM| 4:20 PM| 6:55 PM| 9:30 PM,1 hr 44 min
SM SouthMall Cinema 4,SM SouthMall,Ang Dalawang Mrs. Reyes,11:30 AM| 2:00 PM| 4:30 PM| 7:00 PM| 9:30 PM,2 hrs 32 min
