title,genre,image,details,credits,opening_date,cinema_name,status,mtrcb_ratings,score,trailer_link
Maze Runner: The Death Cure,"Action, Adventure, Sci-fi",https://cdn3.clickthecity.com/images/movies/poster/215/16142.jpg,"Young hero Thomas embarks on a mission to find a cure for a deadly disease known as the ""Flare.""","Main Cast: Dylan O'Brien
Director: Wes Ball
Writer: James Dashner, T.S. Nowlin
Released By: 20th Century Fox",opened,"Alabang Town Center Cinema 1,Ali Mall Cineplex 1,Ayala Fairview Terraces Cinema 4,Ayala Malls Cloverleaf Cinema 3,Ayala Malls Feliz Cinema 1,Ayala Malls South Park Cinema 4,Ayala Malls The 30th Cinema 3,Ayala Malls Vertis North Cinema 2,Blue Wave Cinema 1,Bonifacio High Street Cinema 2 (ATMOS),Bonifacio High Street Cinema 4 in 3D,Cash & Carry Cinema 1,Century City Mall Cinema 4,Century City Mall Premier Cinema 3,Commercenter Cinemas Cinema 3,Eastwood Citywalk 2 Cinema 2,Eastwood Mall Cinema 5,Eastwood Mall Ultra Cinema 7,Evia Lifestyle Center MX4D Cinema 1 in 3D,Evia Lifestyle Center VIP Cinema 2,Festival Cinema 2,Festival Cinema 8,Fisher Mall Cinema 2,Fisher Mall VIP Cinema 1,Forum Robinsons Cinema 4,Gateway Cineplex 10 (Platinum Cinema),Gateway Cineplex 5,Glorietta 4 Cinema 1,Greenbelt 3 Cinema 2,Greenbelt 3 Cinema 5 in 3D,Greenbelt Cinema 2,Greenhills Dolby Atmos Cinema 6,Greenhills Dolby Atmos Cinema 8,Isetann Cinerama 2,Lucky Chinatown Cinema 2,Market Market Cinema 1,Newport Cinema 3,Power Plant Cinema 5,Power Plant Dolby Atmos Cinema 6,Power Plant VIP Cinema 8,Robinsons Galleria Cinema 1,Robinsons Galleria Cinema 6,Robinsons Magnolia Cinema 2,Robinsons Manila Cinema 3 (Midtown),Robinsons Metro East Cinema 1,Robinsons Place Las Piñas Cinema 1,S Maison Director's Club Cinema 2,S Maison Director's Club Cinema 3,SM Aura Premier Cinema 2,SM Aura Premier IMAX in 3D,SM Center Sangandaan Cinema 2,SM City BF Parañaque Cinema 1,SM City BF Parañaque Director's Club 4,SM City Bicutan Cinema 4,SM City East Ortigas Director's Club Cinema 3,SM City East Ortigas Director's Club Cinema 4,SM City Fairview Cinema 3,SM City Fairview Cinema 8 in 3D,SM City Manila Cinema 2,SM City Manila Cinema 7,SM City Marikina Cinema 5,SM City North EDSA - The Block Cinema 1,SM City North EDSA - The Block Cinema 3,SM City North EDSA IMAX in 3D,SM City Novaliches Cinema 3,SM City Sta. Mesa Cinema 5,SM City Sta. Mesa Cinema 6,SM City Sucat Cinema 2,SM Light Mall Cinema 1,SM Mall of Asia Cinema 2 in 3D,SM Mall of Asia Cinema 3,SM Mall of Asia Cinema 7,SM Mall of Asia IMAX in 3D,SM Mall of Asia Premiere,SM Megamall Cinema 4,SM Megamall Digital Theater 2 in 3D,SM Megamall Director's Club,SM Megamall IMAX in 3D,SM Muntinlupa Cinema 2,SM Muntinlupa Cinema 4,SM San Lazaro Cinema 2,SM San Lazaro Cinema 4,SM Southmall Cinema 6,SM Southmall IMAX in 3D,SM Valenzuela Cinema 2,Santolan Town Plaza Power Plant Cinema 1,Shangri-la Plaza Cinema 1,Shangri-la Plaza Cinema 2,Starmall Alabang Cinema 4,Starmall EDSA-Shaw Cinema 2,TriNoma Cinema 7,U.P. Town Center Cinema 3,U.P. Town Center Cinema 4 in 3D,Uptown Mall Cinema 2,Uptown Mall VIP Cinema,Venice Cineplex Cinema 2,Venice Cineplex Cinema 5,Venice Cineplex VIP Cinema,Vista Mall Las Piñas Cinema 1,Vista Mall Taguig Cinema 2,Vista Mall Taguig VIP Cinema 1,Waltermart Makati Cinema - 3",showing,PG,1.5 - critic's rating | read review,https://www.clickthecity.com/movies/video/3853
12 Strong,"Action, Drama, History",https://cdn3.clickthecity.com/images/movies/poster/215/16389.jpg,It tells the story of CIA paramilitary officers and U.S. Special Forces who were sent to Afghanistan immediately after the September 11 attacks.,"Main Cast: Chris Hemsworth
Director: Nicolai Fuglsig
Writer: Peter Craig, Ted Tally
Released By: Pioneer Films",opened,"Ayala Malls Feliz Cinema 2,Ayala Malls The 30th Cinema 4,Bonifacio High Street Cinema 1 (ATMOS),Gateway Cineplex 8,Glorietta 4 Cinema 5,Greenhills Promenade Cinema 5,Market Market Cinema 7,Power Plant Dolby Atmos Cinema 2,Robinsons Galleria Cinema 10,Robinsons Manila Cinema 5 (Pedro Gil),SM City East Ortigas Director's Club Cinema 2,SM City Fairview Cinema 2,SM City Manila Cinema 3,SM City Marikina Cinema 4,SM City North EDSA Cinema 10,SM City Sta. Mesa Cinema 2,SM Mall of Asia Director's Club,SM Megamall Cinema 6,SM Southmall Cinema 7,TriNoma Cinema 5,U.P. Town Center Cinema 2",showing,R-13,"
It tells the story of CIA paramilitary officers and U.S. Special Forces who were sent to Afghanistan immediately after the September 11 attacks.
",https://www.clickthecity.com/movies/video/3887
Insidious: The Last Key,"Horror, Mystery, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/16022.jpg,Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet - in her childhood home.,"Main Cast: Josh Stewart, Lin Shaye, Spencer Locke
Director: Adam Robitel
Writer: Leigh Whannell
Released By: Columbia Pictures",opened,"Alabang Town Center Cinema 3,Ali Mall Cineplex 3,Ayala Fairview Terraces Cinema 6,Ayala Malls Cloverleaf Cinema 2,Ayala Malls Feliz Cinema 4,Ayala Malls South Park Cinema 1,Ayala Malls The 30th Cinema 1,Ayala Malls Vertis North Cinema 3,Bonifacio High Street Cinema 3,Century City Mall Cinema 2,Commercenter Cinemas Cinema 1,Eastwood Citywalk 2 Cinema 3,Evia Lifestyle Center Cinema 3,Festival Cinema 9,Fisher Mall Cinema 3,Fisher Mall VIP Cinema 2,Forum Robinsons Cinema 3,Gateway Cineplex 3,Glorietta 4 Cinema 3,Greenbelt 3 Cinema 4,Greenhills Dolby Atmos Cinema 7,Lucky Chinatown Cinema 3,Market Market Cinema 6,Newport Ultra Cinema 1,One Mall Sky Theater Cinema 1,One Mall Sky Theater Cinema 2,Power Plant Cinema 7,Robinsons Galleria Cinema 2,Robinsons Magnolia Cinema 1,Robinsons Manila Cinema 2 (Midtown),Robinsons Metro East Cinema 3,Robinsons Place Las Piñas Cinema 2,SM Aura Premier Cinema 1,SM Center Sangandaan Cinema 3,SM City BF Parañaque Director's Club 1,SM City Bicutan Cinema 3,SM City East Ortigas Digital Cinema 4,SM City Fairview Cinema 10,SM City Manila Cinema 5,SM City Marikina Digital Theater 1,SM City North EDSA - The Block Cinema 4,SM City Novaliches Cinema 4,SM City Sta. Mesa Cinema 4,SM City Sucat Cinema 3,SM Light Mall Cinema 2,SM Mall of Asia Center Stage,SM Megamall Digital Theater 3,SM Muntinlupa Cinema 3,SM San Lazaro Cinema 6,SM Southmall Cinema 3,SM Valenzuela Cinema 3,Santolan Town Plaza Power Plant Cinema 3,Shangri-la Plaza Cinema 3,Starmall Alabang Cinema 2,Starmall EDSA-Shaw Cinema 1,TriNoma Cinema 6,U.P. Town Center Cinema 1,Uptown Mall Cinema 1,Venice Cineplex Cinema 3,Vista Mall Las Piñas Cinema 3,Vista Mall Taguig Cinema 3,Waltermart Makati Cinema - 1",showing,R-13,"
Parapsychologist Dr. Elise Rainier faces her most fearsome and personal haunting yet - in her childhood home.
",https://www.clickthecity.com/movies/video/3840
The Commuter,"Crime, Drama, Mystery",https://cdn3.clickthecity.com/images/movies/poster/215/16382.jpg,"Michael, an insurance salesman takes the train for his daily commute. His routine changes when he is contacted by a mysterious stranger. He is then forced to uncover the identity of a hidden passenger before his last stop.","Main Cast: Liam Neeson
Director: Jaume Collet-Serra
Writer: Byron Willinger, Philip de Blasi , Ryan Engle
Released By: Pioneer Films",opened,"Evia Lifestyle Center Cinema 3,Festival Cinema 7,Fisher Mall Cinema 1,Gateway Cineplex 9,Greenhills Promenade Cinema 5,Robinsons Galleria Cinema 6,SM City North EDSA Cinema 11,SM City Sta. Mesa Cinema 9,Starmall Alabang Cinema 3,Vista Mall Las Piñas Cinema 3",showing,R-13,"
Michael, an insurance salesman takes the train for his daily commute. His routine changes when he is contacted by a mysterious stranger. He is then forced to uncover the identity of a hidden passenger before his last stop.
",https://www.clickthecity.com/movies/video/3886
Jumanji: Welcome to the Jungle,"Action, Adventure, Comedy",https://cdn3.clickthecity.com/images/movies/poster/215/16136.jpg,"Set twenty-one years after the first film, the plot follows four teenagers who are transported into the video game world of Jumanji, and playing as the characters they chose, must beat the game in order to return home.","Main Cast: Dwayne Johnson, Jack Black, Kevin Hart
Director: Jake Kasdan
Writer: Chris McKenna, Jake Kasdan, Jeff Pinkner , Scott Mitchell Rosenberg
Released By: Columbia Pictures",opened,"Ali Mall Cineplex 2,Ayala Fairview Terraces Cinema 3,Ayala Malls Cloverleaf Cinema 6,Ayala Malls The 30th Cinema 2,Ayala Malls Vertis North Cinema 1,Bonifacio High Street Cinema 1 (ATMOS),Commercenter Cinemas Cinema 4,Eastwood Mall Cinema 6,Evia Lifestyle Center VIP Cinema 2,Festival Cinema 6,Fisher Mall Cinema 4,Gateway Cineplex 2,Greenbelt 3 Cinema 1,Greenhills Promenade Cinema 3,Lucky Chinatown Cinema 4,Market Market Cinema 2,Newport Cinema 2,Power Plant Dolby Atmos Cinema 4,Robinsons Galleria Cinema 8,Robinsons Magnolia Cinema 4,Robinsons Manila Cinema 4 (Pedro Gil),Robinsons Metro East Cinema 5,Robinsons Place Las Piñas Cinema 4,S Maison Director's Club Cinema 1,SM City BF Parañaque Director's Club 3,SM City East Ortigas Digital Cinema 1,SM City Fairview Cinema 4,SM City Manila Cinema 6,SM City Marikina Digital Theater 2 in 3D,SM City North EDSA Cinema 5,SM City Sta. Mesa Cinema 7,SM Mall of Asia Cinema 6,SM Megamall Digital Theater 1,SM San Lazaro Cinema 5,SM Southmall Digital Theater,SM Valenzuela Cinema 4,Shangri-la Plaza Premiere Theatre,Starmall Alabang Cinema 3,U.P. Town Center Cinema 2,Uptown Mall Cinema 3,Venice Cineplex Cinema 1,Vista Mall Las Piñas Cinema 2,Vista Mall Taguig VIP Cinema 1",showing,PG,"
Set twenty-one years after the first film, the plot follows four teenagers who are transported into the video game world of Jumanji, and playing as the characters they chose, must beat the game in order to return home.
",https://www.clickthecity.com/movies/video/3851
Pitch Perfect 3,"Comedy, Musical",https://cdn3.clickthecity.com/images/movies/poster/215/16134.jpg,"It follows the Bellas, now graduated from college, reuniting for one final performance together during an overseas USO tour.","Main Cast: Anna Kendrick
Director: Trish Sie
Writer: Kay Cannon, Mike White
Released By: UIP-Columbia Pictures",opened,"Ali Mall Cineplex 2,Eastwood Mall Cinema 5,Evia Lifestyle Center Cinema 4,Festival Cinema 10,Fisher Mall Cinema 5,Gateway Cineplex 7,Greenbelt 3 Cinema 3,Greenhills Theater Mall Cinema 1,Robinsons Galleria Cinema 4,SM Aura Premier Director's Club 2,SM City BF Parañaque Director's Club 2,SM City East Ortigas Director's Club Cinema 1,SM City Fairview Cinema 6,SM City Manila Cinema 1,SM City Marikina Cinema 4,SM City North EDSA - The Block Cinema 3,SM City Sta. Mesa Cinema 1,SM Mall of Asia Cinema 8,SM Megamall Cinema 12,SM San Lazaro Cinema 3,SM Southmall Cinema 7,Uptown Mall Cinema 4,Vista Mall Las Piñas Cinema 4",showing,PG,"
It follows the Bellas, now graduated from college, reuniting for one final performance together during an overseas USO tour.
",https://www.clickthecity.com/movies/video/3877
Beyond Skyline,"Action, Sci-fi, Thriller",https://cdn3.clickthecity.com/images/movies/poster/215/15576.jpg,It tells the story of a couple who decides to go on a procedure to shrink their bodies to live in wealth and splendor in an experimental community.,"Main Cast: Bojana Novakovic, Callan Mulvey, Frank Grillo
Director: Liam O'Donnell
Writer: Liam O'Donnell
Released By: Captive Cinema Distribution",opened,"Forum Robinsons Cinema 2,Robinsons Galleria Cinema 7,Robinsons Manila Cinema 5 (Pedro Gil),Robinsons Metro East Cinema 6,SM City Fairview Cinema 1,SM City North EDSA - The Block Cinema 2,SM Megamall Cinema 10",showing,R-13,, 
Braven,"Action, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16426.jpg,It revolves around two strangers who meet in Palawan and are trying to forget about their problems.,"Main Cast: Jason Momoa
Director: Lin Oeding
Writer: Mike Nilon, Thomas Pa'a Sibbett
",opened,"Alabang Town Center Cinema 5,Ayala Fairview Terraces Cinema 1,Ayala Malls Cloverleaf Cinema 5,Ayala Malls South Park Cinema 3,Festival Cinema 8,Gateway Cineplex 4,Glorietta 4 Cinema 4,Greenhills Promenade Cinema 4,Market Market Cinema 3,Power Plant Cinema 1,Robinsons Galleria Cinema 3,Robinsons Manila Cinema 1 (Midtown),Robinsons Metro East Cinema 8,SM City BF Parañaque Director's Club 4,SM City Marikina Cinema 6,SM City North EDSA - The Block Cinema 2,SM City Novaliches Cinema 2,SM City Sucat Cinema 1,SM Megamall Cinema 11,Santolan Town Plaza Power Plant Cinema 2,Starmall EDSA-Shaw Cinema 3,TriNoma Cinema 4,U.P. Town Center Cinema 3",showing,R-13,, 
Downsizing,"Comedy, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16230.jpg,"Cindy Reyes and Lianne Reyes is a pair of devoted wives who discovers their husbands are in a secret, gay relationship.","Main Cast: Kristen Wiig, Matt Damon
Director: Alexander Payne
Writer: Alexander Payne, Jim Taylor
Released By: UIP-Columbia Pictures",opened,"Greenbelt Cinema 1,TriNoma Cinema 3",showing,R-13,"
It tells the story of a couple who decides to go on a procedure to shrink their bodies to live in wealth and splendor in an experimental community.
",https://www.clickthecity.com/movies/video/3845
Fallen Not Forgotten: The Untold Story of The Gallant SAF 44,Documentary,https://cdn3.clickthecity.com/images/movies/poster/215/16428.jpg,It tells the story of a mother and daughter who encounters struggles and conflicts in their relationship.,,opened,"SM City East Ortigas Director's Club Cinema 4,SM City Fairview Cinema 7,SM City Manila Cinema 4,SM City Marikina Cinema 6,SM City North EDSA Cinema 11,SM Mall of Asia Cinema 5,SM Megamall Cinema 7,SM Southmall Cinema 2",showing,R-13,, 
