title,genre,image,details,credits,opening_date,cinema_name,status,mtrcb_ratings,score,trailer_link
Fifty Shades Freed,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16225.jpg,NA,"Main Cast: Dakota Johnson, Jamie Dornan
Director: James Foley
Writer: Niall Leonard
Released By: UIP-Columbia Pictures",Advance booking available on ClickTheCity App,NA,upcoming,NA,"Opening Date: Wed, 7 Feb 2018BUY ",NA
A Better Tomorrow,"Action, Crime, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16430.jpg,NA,"Main Cast: Darren Wang, Kai Wang, Ma Tian Yu
Director: Ding Sheng
Writer: Ding Sheng
Released By: Star Cinema",,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
Call Me By Your Name,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16356.jpg,NA,"Main Cast: Armie Hammer, Timothée Chalamet
Director: Luca Guadagnino
Writer: André Aciman, James Ivory
Released By: Columbia Pictures",4.6 - user rating | 4 reviews,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
Changing Partners,Indie,https://cdn3.clickthecity.com/images/movies/poster/215/16341.jpg,NA,"Main Cast: Agot Isidro, Jojit Lorenzo
Director: Dan Villegas
Writer: Lilit Reyes, Vincent de Jesus
Film ProducerAntoinette Jadaone, Dan Villegas
Released By: Cinema One Originals / Star Cinema",5.0 - user rating,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
Paddington 2,"Adventure, Animation, Comedy",https://cdn3.clickthecity.com/images/movies/poster/215/16424.jpg,NA,"Main Cast: Hugh Grant
Director: Paul King
Writer: Paul King, Simon Farnaby
Released By: Captive Cinema Distribution",,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
The Greatest Showman,"Biography, Drama, Musical",https://cdn3.clickthecity.com/images/movies/poster/215/16137.jpg,NA,"Main Cast: Hugh Jackman
Director: Michael Gracey
Writer: Bill Condon
Released By: 20th Century Fox",4.8 - user rating | 2 reviews,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
"I,Tonya","Comedy, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16425.jpg,NA,"Main Cast: Margot Robbie
Director: Craig Gillespie
Writer: Steven Rogers
Released By: Solar Pictures","
Tonya Harding dominated the ice with unrivaled athleticism. She dominated the headlines for something else entirely. ""I, Tonya"" is an at times absurd, tragic and hilarious look at the woman at the center of the biggest scandal in sports history.
",NA,upcoming,NA,"Opening Date: Wed, 7 Feb 2018",NA
Fifty Shades Freed,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16225.jpg,NA,"Main Cast: Dakota Johnson, Jamie Dornan
Director: James Foley
Writer: Niall Leonard
Released By: UIP-Columbia Pictures",Advance booking available on ClickTheCity App,NA,upcoming,NA,"Opening Date: Wed, 7 Feb 2018BUY ",NA
A Better Tomorrow,"Action, Crime, Drama",https://cdn3.clickthecity.com/images/movies/poster/215/16430.jpg,NA,"Main Cast: Darren Wang, Kai Wang, Ma Tian Yu
Director: Ding Sheng
Writer: Ding Sheng
Released By: Star Cinema",,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
Call Me By Your Name,"Drama, Romance",https://cdn3.clickthecity.com/images/movies/poster/215/16356.jpg,NA,"Main Cast: Armie Hammer, Timothée Chalamet
Director: Luca Guadagnino
Writer: André Aciman, James Ivory
Released By: Columbia Pictures",4.6 - user rating | 4 reviews,NA,upcoming,NA,"Opening Date: Wed, 31 Jan 2018",NA
